SensorTimestamp	Air Temperature (Degrees C)	Barometric Pressure (inches)	Wind Direction (Degrees Magnetic)	Wind Speed (Knot)
14/08/2015 00:02	8.7	29.9198	226.7	1.9
14/08/2015 00:07	9	29.9139	249.4	2.3
14/08/2015 00:12	9	29.9139	260.2	2.4
14/08/2015 00:17	9	29.9109	260.2	2.5
14/08/2015 00:22	9	29.908	263	2.7
14/08/2015 00:27	9	29.9021	263.7	3.5
14/08/2015 00:32	9	29.905	249.8	3.5
14/08/2015 00:37	9	29.905	265.7	3.8
14/08/2015 00:42	9.1	29.908	257.3	3.8
14/08/2015 00:47	9.1	29.905	242.1	3.9
14/08/2015 00:52	9.1	29.8991	274.5	4.2
14/08/2015 00:57	9.1	29.8932	250.7	4.2
14/08/2015 01:02	9.1	29.8962	240.5	4.5
14/08/2015 01:07	9.1	29.8962	248.1	4.8
14/08/2015 01:12	9.1	29.8932	237.4	5.2
14/08/2015 01:17	9.1	29.8932	267.8	5.2
14/08/2015 01:22	9.1	29.8903	262.1	5.2
14/08/2015 01:27	9.1	29.8903	219.1	5.3
14/08/2015 01:32	9.1	29.8932	260.6	5.4
14/08/2015 01:37	9.1	29.8903	229.5	5.4
14/08/2015 09:21	9.1	29.846	267.4	5.4
14/08/2015 09:26	9.1	29.846	285.7	5.5
14/08/2015 09:31	9.2	29.8519	283.9	5.5
14/08/2015 09:36	9.2	29.846	287	5.7
14/08/2015 09:41	9.2	29.8548	289.9	5.7
14/08/2015 09:46	9.2	29.8548	288.1	6.1
14/08/2015 09:51	9.2	29.8519	277.4	6.2
14/08/2015 09:56	9.2	29.8578	265.3	6.3
14/08/2015 10:11	9.2	29.8548	256.5	6.5
14/08/2015 10:16	9.2	29.843	292.6	6.7
14/08/2015 10:21	9.2	29.846	288.1	6.9
14/08/2015 10:24	9.2	29.8489	288	7
14/08/2015 10:27	9.2	29.8489	279.1	7
14/08/2015 10:32	9.3	29.8489	270.6	7
14/08/2015 10:37	9.3	29.8489	264	7
14/08/2015 10:42	9.3	29.8489	280.7	7.1
14/08/2015 10:47	9.3	29.843	294.5	7.3
14/08/2015 10:52	9.3	29.8489	277.5	7.3
14/08/2015 10:57	9.3	29.8519	275.9	7.4
14/08/2015 11:02	9.3	29.8519	289.1	7.5
14/08/2015 11:07	9.4	29.8548	269.2	7.8
14/08/2015 11:13	9.5	29.8548	274.1	7.8
14/08/2015 11:18	9.5	29.8548	269.2	7.9
14/08/2015 11:23	9.6	29.846	276.3	8.1
14/08/2015 11:28	9.7	29.8489	268.3	8.1
14/08/2015 11:33	9.7	29.846	253.4	8.3
14/08/2015 11:38	9.9	29.8489	259.9	8.3
14/08/2015 11:43	9.9	29.8489	256.4	8.4
14/08/2015 11:48	9.9	29.846	252.6	8.5
14/08/2015 11:53	10	29.8489	251.8	8.5
